Table 4.,,,,,,,,,,
"List of African IXPs collected in IXPs public datasets as of December 31<comma> 2016. 
N/A means ’Non Available’ and ?<comma> ’Unknown’. 
The names of the 13 African IXPs for which none of the members was hosting a RIPE Atlas probe during our measurement campaigns are followed by the symbol *.",,,,,,,,,,
IXP AS,IXP Name,CC,AS Alloca-,#IPs up,IXP,Mapping,# Peers,#Peers,#Peers,#members
,,,tion date,(ping from,map-,Methods,IXP Web-,Peering,PCH,(local) mem-
,,,,Internet),ped?,,sites,DB,,bers found
N/A,DINX,ZA,N/A,0,Yes,M1,N/A,10,5,2 (2)
N/A,WHK-IX/IXP-NAMIBIA,NA,N/A,18,Yes,M1,N/A,4,5,4 (2)
N/A,REUNIX,RE,N/A,0,Yes,M1,N/A,5,10,3 (1)
N/A,KINIX /RDC-IX Kinshasa*,CD,N/A,0,No,N/A,N/A,1,6,N/A
N/A,SEYCHELLES IX,SC,N/A,0,Yes,M1,N/A,N/A,?,4 (4)
N/A,LIBERIA IX,LR,N/A,0,Yes,M1,N/A,N/A,N/A,4 (4)
4558,KIXP,KE,2010-09-22,0,Yes,M1,27,11,29,18 (8)
24736,CAIX*,EG,2007-09-20,0,No,N/A,7,N/A,8,N/A
30997,GIXA-AS*,GH,2005-03-02,89,No,N/A,12,1,24,N/A
33791,TIX-ASN,TZ,2005-08-02,20,Yes,M1,27,11,25,9 (8)
36932,IXPN*,NG,2007-01-16,58,Yes,M1,33,7,30,4 (4)
36946,CIVIX,CI,2007-04-24,10,No,N/A,5,0,5,N/A
37143,ARUSHA-AS/AIXP,TZ,2009-09-02,0,Yes,M1,N/A,N/A,6,8 (8)
37186,NAPAFRICA,ZA,2010-03-15,0,Yes,M1,108,172,41,55 (30)
37195,NAPAFRICA,ZA,2010-04-01,0,Yes,M1,108,172,41,55 (30)
37221,LUSAKA-IXP/ZAMBIAIXP*,ZM,2010-06-14,0,Yes,M1,13,2,13,4 (3)
37224,RINEX c/o RICTA,RW,2010-06-18,0,Yes,M1,9,5,5,14 (4)
37228,RINEX c/o RICTA,RW,2010-06-18,0,Yes,M1,9,9,5,14 (4)
37299,LIXP*,LS,2011-03-08,0,No,N/A,2,0,?,N/A
37355,ZINX,ZW,2011-07-07,0,No,N/A,N/A,N/A,5,N/A
37383,ANG-IXP/ANGOLA-IXP,AO,2011-10-12,0,Yes,M1,12,6,10,2 (1)
37386,UIXP,UG,2011-10-18,23,Yes,M1,17,3,8,5 (4)
37481,CGIX*,CG,2012-07-16,0,No,N/A,6,0,6,N/A
37551,ATI-TUNIXP*,TN,2013-02-05,52,No,N/A,12,2,9,N/A
37635,MOZIX*,MZ,2013-10-04,0,No,N/A,17,3,17,N/A
37651,MIX-AS,MW,2013-11-06,0,Yes,M1,N/A,2,21,2 (2)
37695,BURUNDIX*,BI,2014-03-20,5,No,N/A,2,0,1,N/A
37699,JINX,ZA,2014-05-23,36,Yes,M1,57,53,57,48 (23)
37701,CINX,ZA,2014-05-23,21,Yes,M1,23,21,23,26 (15)
327719,SIXP,GM,2014-01-06,0,Yes,M1<comma> M2,15,0,0,4 (4)
327740,AMSIX- East-Africa,KE,2009-07-24,0,Yes,M1,N/A,N/A,3,2 (2)
327775,AO-IXP*,AO,2014-07-07,6,No,N/A,N/A,N/A,?,N/A
327779,DJIBOUTI-DC-IXP (DjIX)*,DJ,2014-07-31,0,No,N/A,N/A,2,N/A,N/A
327788,ANGONIX*,AO,2014-09-01,0,No,N/A,4,3,3,N/A
327818,BENIN-IX,BJ,2014-11-12,53,Yes,M1<comma> M2,5,2,5,3 (3)
327821,MIXP,MU,2014-11-24,0,No,N/A,N/A,N/A,6,N/A
327834,MGIX,MG,2015-01-29,0,Yes,M1,N/A,N/A,N/A,N/A
